"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 03 11:04:42 PKT 2023","Mon Apr 03 11:04:51 PKT 2023","9609","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.AboutPageTest","tests.AboutPageTest","VerifyClickOnAbout","VerifyClickOnAbout",""
"passed","Mon Apr 03 11:04:34 PKT 2023","Mon Apr 03 11:04:35 PKT 2023","154","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.HomePageTest","tests.HomePageTest","verifyItemRemoved","verifyItemRemoved",""
"passed","Mon Apr 03 11:04:25 PKT 2023","Mon Apr 03 11:04:25 PKT 2023","10","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.LoginPageTest","tests.LoginPageTest","loginPageTitleTest","loginPageTitleTest",""
"passed","Mon Apr 03 11:05:17 PKT 2023","Mon Apr 03 11:05:19 PKT 2023","1766","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.AboutPageTest","tests.AboutPageTest","VerifySearch","VerifySearch",""
"passed","Mon Apr 03 11:04:54 PKT 2023","Mon Apr 03 11:04:58 PKT 2023","3702","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.AboutPageTest","tests.AboutPageTest","VerifyTitleOfAboutPage","VerifyTitleOfAboutPage",""
"passed","Mon Apr 03 11:04:39 PKT 2023","Mon Apr 03 11:04:39 PKT 2023","261","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.HomePageTest","tests.HomePageTest","verifyLogout","verifyLogout",""
"passed","Mon Apr 03 11:05:00 PKT 2023","Mon Apr 03 11:05:07 PKT 2023","7375","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.AboutPageTest","tests.AboutPageTest","VerifyTryItFreeButton","VerifyTryItFreeButton",""
"passed","Mon Apr 03 11:04:27 PKT 2023","Mon Apr 03 11:04:27 PKT 2023","53","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.LoginPageTest","tests.LoginPageTest","crmLogoImageTest","crmLogoImageTest",""
"passed","Mon Apr 03 11:05:10 PKT 2023","Mon Apr 03 11:05:14 PKT 2023","4113","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.AboutPageTest","tests.AboutPageTest","VerifyScrollDownAboutPage","VerifyScrollDownAboutPage",""
"passed","Mon Apr 03 11:04:32 PKT 2023","Mon Apr 03 11:04:32 PKT 2023","90","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.HomePageTest","tests.HomePageTest","verifyItemAdded","verifyItemAdded",""
"passed","Mon Apr 03 11:04:37 PKT 2023","Mon Apr 03 11:04:37 PKT 2023","106","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.HomePageTest","tests.HomePageTest","verifySidePane","verifySidePane",""
"passed","Mon Apr 03 11:04:30 PKT 2023","Mon Apr 03 11:04:30 PKT 2023","257","Test Suite Final Assignment"," Sample Assignment 2 Test","tests.LoginPageTest","tests.LoginPageTest","LoginTest","LoginTest",""
